prefLabel;hasLanguage
popular;pt
perturbado;pt
oficial;pt
limpo;pt
inevitável;pt
grisalho;pt
extremo;pt
desajeitado;pt
complexo;pt
artificial;pt
abatido;pt
virgem;pt
valioso;pt
sensato;pt
risonho;pt
piedoso;pt
morno;pt
metálico;pt
incerto;pt
idêntico;pt
grego;pt
gigantesco;pt
fiel;pt
excitante;pt
esguio;pt
célebre;pt
apertado;pt
vizinho;pt
vacilante;pt
universal;pt
saudável;pt
repleto;pt
perpétuo;pt
pardo;pt
ofegante;pt
mútuo;pt
lustroso;pt
isolado;pt
inchado;pt
gasto;pt
formal;pt
fascinado;pt
exausto;pt
escasso;pt
dito;pt
distraído;pt
desportivo;pt
contínuo;pt
competente;pt
clássico;pt
civil;pt
adulto;pt
adormecido;pt
técnico;pt
suspeito;pt
sensual;pt
rigoroso;pt
notável;pt
irregular;pt
idoso;pt
excessivo;pt
exato;pt
espantoso;pt
escolar;pt
erótico;pt
enganado;pt
bastante;pt
agitado;pt
actual;pt
absorto;pt
teatral;pt
roxo;pt
robusto;pt
reluzente;pt
nacional;pt
médico;pt
moço;pt
legítimo;pt
idiota;pt
frequente;pt
conveniente;pt
conhecido;pt
chocado;pt
brando;pt
apinhado;pt
tonto;pt
sentimental;pt
rubro;pt
rosado;pt
primitivo;pt
ocasional;pt
lateral;pt
intelectual;pt
horrorizado;pt
devido;pt
desgraçado;pt
demorado;pt
corrente;pt
automático;pt
triunfante;pt
soturno;pt
sorridente;pt
radical;pt
policial;pt
perturbador;pt
perplexo;pt
perfumado;pt
ocidental;pt
monótono;pt
lúgubre;pt
intacto;pt
indiano;pt
impressionado;pt
hebraico;pt
exagerado;pt
escarlate;pt
devoto;pt
constrangido;pt
carregado;pt
bizarro;pt
aparente;pt
variado;pt
trágico;pt
maduro;pt
irónico;pt
injusto;pt
indeciso;pt
ideal;pt
heróico;pt
favorável;pt
débil;pt
cultural;pt
corajoso;pt
concentrado;pt
comovido;pt
clandestino;pt
ameaçador;pt
alvo;pt
vibrante;pt
turístico;pt
temporário;pt
simbólico;pt
sarcástico;pt
respeitável;pt
repentino;pt
quadrado;pt
preferível;pt
ousado;pt
oriental;pt
negativo;pt
lívido;pt
límpido;pt
insensível;pt
grandioso;pt
fatigado;pt
existente;pt
escondido;pt
característico;pt
alemão;pt
sábio;pt
sonoro;pt
significativo;pt
secundário;pt
rude;pt
repugnante;pt
recto;pt
prateado;pt
podre;pt
murcho;pt
medieval;pt
longínquo;pt
intrigado;pt
imperioso;pt
hábil;pt
formoso;pt
fascinante;pt
extenso;pt
estridente;pt
específico;pt
embaraçoso;pt
diário;pt
disponível;pt
cômico;pt
cru;pt
correcto;pt
convencido;pt
careca;pt
agressivo;pt
africano;pt
vagaroso;pt
sórdido;pt
suado;pt
satisfatório;pt
prudente;pt
obstante;pt
natal;pt
mesquinho;pt
mecânico;pt
leal;pt
impressionante;pt
implacável;pt
horroroso;pt
frouxo;pt
formidável;pt
fixo;pt
enfadonho;pt
emocional;pt
económico;pt
disperso;pt
desvairado;pt
desolado;pt
dado;pt
cintilante;pt
afável;pt
ágil;pt
vistoso;pt
traseiro;pt
tolo;pt
tardio;pt
são;pt
russo;pt
receoso;pt
prolongado;pt
prodigioso;pt
privilegiado;pt
odioso;pt
meigo;pt
lógico;pt
irresistível;pt
intolerável;pt
infernal;pt
indispensável;pt
habituado;pt
fundamental;pt
extra;pt
espetado;pt
escusado;pt
egoísta;pt
duvidoso;pt
descuidado;pt
convencional;pt
conseguinte;pt
confidencial;pt
condicionado;pt
cheiroso;pt
cauteloso;pt
atual;pt
anual;pt
aceitável;pt
vário;pt
vaidoso;pt
trivial;pt
tosco;pt
rosa;pt
ritual;pt
respeitoso;pt
reservado;pt
propício;pt
postiço;pt
positivo;pt
pequenino;pt
pavoroso;pt
patético;pt
paciente;pt
ondulante;pt
nojento;pt
musical;pt
minucioso;pt
maluco;pt
