City;hasIBGECode
São Domingos;4216107
São Francisco do Sul;4216206
São João Batista;4216305
São João do Itaperiú;4216354
São João do Oeste;4216255
São João do Sul;4216404
São Joaquim;4216503
São José;4216602
São José do Cedro;4216701
São José do Cerrito;4216800
São Lourenço do Oeste;4216909
São Ludgero;4217006
São Martinho;4217105
São Miguel da Boa Vista;4217154
São Miguel do Oeste;4217204
São Pedro de Alcântara;4217253
Saudades;4217303
Schroeder;4217402
Seara;4217501
Serra Alta;4217550
Siderópolis;4217600
Sombrio;4217709
Sul Brasil;4217758
Taió;4217808
Tangará;4217907
Tigrinhos;4217956
Tijucas;4218004
Timbé do Sul;4218103
Timbó;4218202
Timbó Grande;4218251
Três Barras;4218301
Treviso;4218350
Treze de Maio;4218400
Treze Tílias;4218509
Trombudo Central;4218608
Tubarão;4218707
Tunápolis;4218756
Turvo;4218806
União do Oeste;4218855
Urubici;4218905
Urupema;4218954
Urussanga;4219002
Vargeão;4219101
Vargem;4219150
Vargem Bonita;4219176
Vidal Ramos;4219200
Videira;4219309
Vitor Meireles;4219358
Witmarsum;4219408
Xanxerê;4219507
Xavantina;4219606
Xaxim;4219705
Zortéa;4219853
